municipio,a–o,mes,total,hombres,mujeres
31,2023,1,1,1,0
31,2023,3,6,5,1
31,2023,4,1,0,1
31,2023,6,3,1,2
31,2023,7,2,1,1
31,2023,8,2,1,1
31,2023,9,1,0,1
31,2023,10,2,1,1
31,2023,11,1,1,0
32,2023,1,1,1,0
32,2023,3,2,2,0
32,2023,9,1,1,0
32,2023,10,1,1,0
33,2023,1,89,40,49
33,2023,2,83,38,45
33,2023,3,75,44,31
33,2023,4,47,20,27
33,2023,5,60,23,37
33,2023,6,63,32,31
33,2023,7,82,40,42
33,2023,8,104,47,57
33,2023,9,93,48,45
33,2023,10,80,38,42
33,2023,11,91,51,40
33,2023,12,74,40,34
34,2023,2,1,1,0
34,2023,4,2,2,0
34,2023,5,2,0,2
34,2023,7,3,2,1
34,2023,8,1,0,1
34,2023,9,1,0,1
34,2023,10,2,0,2
35,2023,1,16,11,5
35,2023,2,11,6,5
35,2023,3,9,5,4
35,2023,4,6,5,1
35,2023,5,13,8,5
35,2023,6,25,9,16
35,2023,7,15,7,8
35,2023,8,16,7,9
35,2023,9,14,9,5
35,2023,10,12,5,7
35,2023,11,10,3,7
35,2023,12,15,9,6
36,2023,1,26,12,14
36,2023,2,22,10,12
36,2023,3,19,11,8
36,2023,4,23,15,8
36,2023,5,18,7,11
36,2023,6,26,14,12
36,2023,7,25,12,13
36,2023,8,25,8,17
36,2023,9,37,21,16
36,2023,10,37,24,13
36,2023,11,31,9,22
36,2023,12,31,16,15
37,2023,3,2,1,1
37,2023,5,2,1,1
37,2023,6,2,1,1
37,2023,8,1,1,0
37,2023,10,1,0,1
37,2023,11,2,1,1
37,2023,12,2,0,2
38,2023,1,2,1,1
38,2023,2,6,5,1
38,2023,3,3,2,1
38,2023,4,4,3,1
38,2023,6,4,2,2
38,2023,7,6,3,3
38,2023,8,4,2,2
38,2023,9,7,5,2
38,2023,10,4,2,2
38,2023,11,3,0,3
38,2023,12,6,2,4
40,2023,1,1,1,0
40,2023,3,1,1,0
40,2023,4,1,1,0
40,2023,6,3,1,2
40,2023,7,2,2,0
40,2023,8,1,1,0
40,2023,9,1,1,0
40,2023,10,3,2,1
40,2023,12,2,2,0
41,2023,1,10,6,4
41,2023,2,11,8,3
41,2023,3,17,11,6
41,2023,4,13,7,6
41,2023,5,12,9,3
41,2023,6,9,5,4
41,2023,7,19,9,10
41,2023,8,16,9,7
41,2023,9,14,6,8
41,2023,10,12,6,6
41,2023,11,13,8,5
41,2023,12,16,8,8
42,2023,1,194,91,103
42,2023,2,171,96,75
42,2023,3,150,74,76
42,2023,4,139,60,79
42,2023,5,138,73,65
42,2023,6,128,66,62
42,2023,7,143,69,74
42,2023,8,213,101,112
42,2023,9,243,112,131
42,2023,10,221,119,102
42,2023,11,184,84,100
42,2023,12,190,101,89
43,2023,1,252,117,133
43,2023,2,228,106,121
43,2023,3,225,110,115
43,2023,4,224,121,103
43,2023,5,233,119,114
43,2023,6,213,103,109
43,2023,7,248,124,124
43,2023,8,233,127,106
43,2023,9,253,128,125
43,2023,10,275,133,142
43,2023,11,252,134,118
43,2023,12,237,125,112
45,2023,1,1,0,1
45,2023,2,2,2,0
45,2023,3,3,1,2
45,2023,4,3,2,1
45,2023,5,3,0,3
45,2023,7,2,1,1
45,2023,8,1,1,0
45,2023,10,2,1,1
45,2023,11,4,1,3
46,2023,1,3,0,3
46,2023,2,4,3,1
46,2023,3,4,3,1
46,2023,4,8,3,5
46,2023,5,1,0,1
46,2023,6,1,1,0
46,2023,7,2,2,0
46,2023,8,8,4,4
46,2023,9,6,4,2
46,2023,10,2,0,2
46,2023,11,2,1,1
46,2023,12,1,1,0
47,2023,1,12,4,8
47,2023,2,11,5,6
47,2023,3,12,8,4
47,2023,4,10,3,7
47,2023,5,16,10,6
47,2023,6,17,6,11
47,2023,7,14,8,6
47,2023,8,23,14,9
47,2023,9,12,5,7
47,2023,10,17,11,6
47,2023,11,21,9,12
47,2023,12,16,7,9
48,2023,1,60,27,33
48,2023,2,62,33,29
48,2023,3,67,33,34
48,2023,4,52,30,22
48,2023,5,52,30,22
48,2023,6,53,31,22
48,2023,7,75,38,37
48,2023,8,61,35,26
48,2023,9,64,31,33
48,2023,10,80,43,37
48,2023,11,75,40,35
48,2023,12,69,35,34
49,2023,1,7,4,3
49,2023,4,2,1,1
49,2023,5,2,2,0
49,2023,6,1,1,0
49,2023,7,3,1,2
49,2023,8,1,1,0
49,2023,9,3,1,2
49,2023,10,7,3,4
49,2023,11,6,2,4
49,2023,12,3,0,3
50,2023,1,2,2,0
50,2023,2,2,0,2
50,2023,3,1,0,1
50,2023,4,1,0,1
50,2023,5,1,1,0
50,2023,6,1,0,1
50,2023,7,1,1,0
50,2023,10,2,2,0
50,2023,12,1,0,1
51,2023,1,3,1,2
51,2023,2,1,1,0
51,2023,3,3,1,2
51,2023,4,7,3,4
51,2023,5,6,5,1
51,2023,6,3,0,3
51,2023,7,2,2,0
51,2023,8,3,3,0
51,2023,9,4,2,2
51,2023,10,5,1,4
51,2023,11,3,2,1
51,2023,12,6,3,3
52,2023,1,3,1,2
52,2023,2,1,0,1
52,2023,5,1,1,0
52,2023,6,1,0,1
52,2023,7,1,0,1
52,2023,8,2,2,0
52,2023,9,6,1,5
52,2023,10,6,2,4
52,2023,11,4,3,1
52,2023,12,5,4,1
55,2023,1,198,98,100
55,2023,2,179,89,90
55,2023,3,200,103,97
55,2023,4,152,83,69
55,2023,5,156,78,78
55,2023,6,154,87,67
55,2023,7,208,106,102
55,2023,8,184,97,87
55,2023,9,217,117,100
55,2023,10,217,105,112
55,2023,11,216,113,103
55,2023,12,191,101,90
56,2023,1,19,9,10
56,2023,2,18,9,9
56,2023,3,11,6,5
56,2023,4,13,6,7
56,2023,5,19,9,10
56,2023,6,25,14,11
56,2023,7,16,7,9
56,2023,8,13,5,8
56,2023,9,16,8,8
56,2023,10,19,9,10
56,2023,11,19,14,5
56,2023,12,16,3,13
57,2023,1,1,1,0
57,2023,4,1,1,0
57,2023,6,2,0,2
57,2023,7,1,1,0
57,2023,8,2,1,1
57,2023,10,2,0,2
58,2023,1,22,14,8
58,2023,2,20,9,11
58,2023,3,15,9,6
58,2023,4,23,13,10
58,2023,5,20,9,11
58,2023,6,12,5,7
58,2023,7,9,4,5
58,2023,8,16,7,9
58,2023,9,23,14,9
58,2023,10,17,9,8
58,2023,11,17,7,10
58,2023,12,13,7,6
59,2023,1,4,2,2
59,2023,2,1,1,0
59,2023,3,1,0,1
59,2023,4,1,0,1
59,2023,6,2,1,1
59,2023,7,2,2,0
59,2023,8,3,0,3
59,2023,9,3,1,2
59,2023,10,3,2,1
59,2023,11,4,3,1
59,2023,12,6,2,4
60,2023,1,3,2,1
60,2023,2,1,1,0
61,2023,1,1,1,0
61,2023,2,1,1,0
61,2023,4,3,1,2
61,2023,5,1,0,1
61,2023,6,1,1,0
61,2023,7,1,1,0
61,2023,9,2,2,0
61,2023,10,1,0,1
61,2023,11,3,1,2
61,2023,12,2,0,2
62,2023,1,2,0,2
62,2023,4,2,2,0
62,2023,12,3,1,2
63,2023,1,1,0,1
63,2023,3,1,0,1
63,2023,8,1,0,1
63,2023,9,1,0,1
64,2023,1,7,5,2
64,2023,3,1,0,1
64,2023,6,1,0,1
64,2023,7,1,1,0
64,2023,8,2,2,0
64,2023,9,2,2,0
64,2023,10,1,1,0
65,2023,1,2,2,0
65,2023,2,1,0,1
65,2023,6,1,1,0
65,2023,7,2,0,2
65,2023,8,2,2,0
65,2023,11,1,0,1
66,2023,1,9,7,2
66,2023,2,10,5,5
66,2023,3,11,5,6
66,2023,4,5,3,2
66,2023,5,4,1,3
66,2023,6,6,4,2
66,2023,7,6,3,3
66,2023,8,12,8,4
66,2023,9,13,6,7
66,2023,10,9,3,6
66,2023,11,4,2,2
66,2023,12,9,2,7
67,2023,2,1,1,0
67,2023,9,3,1,2
67,2023,11,1,0,1
68,2023,1,3,0,3
68,2023,2,2,1,1
68,2023,4,1,0,1
68,2023,5,1,1,0
68,2023,6,1,0,1
68,2023,7,2,1,1
68,2023,9,2,0,2
69,2023,1,2,1,1
69,2023,2,1,0,1
69,2023,3,5,2,3
69,2023,4,5,2,3
69,2023,5,5,4,1
69,2023,6,5,2,3
69,2023,7,4,2,2
69,2023,8,6,3,3
69,2023,9,4,1,3
69,2023,10,3,2,1
69,2023,11,5,3,2
69,2023,12,2,1,1
70,2023,1,13,8,5
70,2023,2,9,7,2
70,2023,3,6,2,4
70,2023,4,7,5,2
70,2023,5,9,5,4
70,2023,6,10,6,4
70,2023,7,12,8,4
70,2023,8,15,8,7
70,2023,9,5,3,2
70,2023,10,5,3,2
70,2023,12,1,1,0
71,2023,1,27,12,15
71,2023,2,26,10,16
71,2023,3,18,10,8
71,2023,4,15,7,8
71,2023,5,21,8,13
71,2023,6,12,8,4
71,2023,7,22,11,11
71,2023,8,24,11,13
71,2023,9,22,10,12
71,2023,10,16,7,9
71,2023,11,20,13,7
71,2023,12,15,9,6
72,2023,1,22,10,12
72,2023,2,11,7,4
72,2023,3,7,1,6
72,2023,4,8,3,5
72,2023,5,13,7,6
72,2023,6,7,3,4
72,2023,7,6,2,4
72,2023,8,11,8,3
72,2023,9,15,9,6
72,2023,10,14,8,6
72,2023,11,13,9,4
72,2023,12,23,10,13

