municipio,año,mes,hombres,mujeres,total
33,2022,7,35,35,70
33,2022,8,36,35,71
33,2022,9,41,46,88
33,2022,10,45,35,80
33,2022,11,44,37,81
33,2022,12,38,42,80
34,2022,1,0,1,1
34,2022,6,0,1,1
34,2022,7,0,1,1
34,2022,11,0,1,1
34,2022,12,0,1,1
35,2022,1,4,4,8
35,2022,2,5,6,11
35,2022,3,9,13,22
35,2022,4,8,8,16
35,2022,5,8,2,10
35,2022,6,9,0,9
35,2022,7,12,9,21
35,2022,8,9,7,16
35,2022,9,6,5,11
35,2022,10,6,4,10
35,2022,11,7,7,14
35,2022,12,7,6,13
36,2022,1,12,13,25
36,2022,2,8,8,16
36,2022,3,7,11,18
36,2022,4,17,14,31
36,2022,5,11,6,17
36,2022,6,8,10,18
36,2022,7,8,9,17
36,2022,8,11,11,22
36,2022,9,16,13,29
36,2022,10,3,9,12
36,2022,11,8,10,18
36,2022,12,8,6,14
37,2022,1,1,1,2
37,2022,2,1,0,1
37,2022,3,0,2,2
37,2022,4,0,2,2
37,2022,5,1,0,1
37,2022,9,1,2,3
37,2022,10,0,2,2
38,2022,1,0,6,6
38,2022,2,2,4,6
38,2022,3,1,2,3
38,2022,4,2,2,4
38,2022,5,3,2,5
38,2022,6,4,0,4
38,2022,7,3,2,5
38,2022,8,1,4,5
38,2022,9,3,3,6
38,2022,10,1,0,1
38,2022,11,2,4,6
38,2022,12,5,5,10
40,2022,1,1,0,1
40,2022,2,1,3,4
40,2022,3,0,2,2
40,2022,4,2,0,2
40,2022,6,1,0,1
40,2022,7,1,0,1
40,2022,9,1,0,1
40,2022,10,1,1,2
40,2022,11,1,0,1
41,2022,1,5,5,10
41,2022,2,4,7,11
41,2022,3,8,5,13
41,2022,4,7,10,17
41,2022,5,6,14,20
41,2022,6,5,5,10
41,2022,7,10,6,16
41,2022,8,6,9,15
41,2022,9,5,4,9
41,2022,10,12,7,19
41,2022,11,4,13,17
41,2022,12,5,5,10
42,2022,1,98,98,196
42,2022,2,64,93,157
