path,status,rows,cols,missing_cols_count,avg_pct_missing_per_col,read_encoding
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Enero - Abril 2023.xlsx,OK,27.0,7.0,0,0.0,
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Septiembre - Diciembre 2024.xlsx,OK,39.0,7.0,0,0.0,
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Enero - Abril 2025.xlsx,OK,39.0,7.0,0,0.0,
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Enero - Abril 2024.xlsx,OK,27.0,7.0,0,0.0,
datasets_sonora_xlsx/Capacitación a Docentes de Educación Básica/Capacitaciones 2do trimestre 2022.xlsx,OK,22.0,11.0,0,0.0,
datasets_sonora_xlsx/Consulta Externa/Consulta Externa.xlsx,OK,195453.0,13.0,0,0.0,
datasets_sonora_xlsx/Desarrollo de Software en la Administración Pública Estatal/Desarrollo de Software.xlsx,OK,12.0,40.0,18,0.2646,
datasets_sonora_xlsx/Desarrollo de Software en la Administración Pública Estatal/Diccionario.xlsx,OK,40.0,9.0,4,0.2556,
datasets_sonora_xlsx/Recursos Hídricos/Datos hídricos 2000-2009.xlsx,OK,32877.0,3.0,0,0.0,
datasets_sonora_xlsx/Recursos Hídricos/Datos hídricos 2020-2024.xlsx,OK,16059.0,3.0,0,0.0,
datasets_sonora_xlsx/Recursos Hídricos/Catalogo.xlsx,OK,10.0,19.0,0,0.0,
datasets_sonora_xlsx/Recursos Hídricos/Datos hídricos 2010-2019.xlsx,OK,32868.0,3.0,0,0.0,
datasets_sonora_xlsx/Recursos Hídricos/Datos hídricos 1950-1959.xlsx,OK,15371.0,3.0,0,0.0,
datasets_sonora_xlsx/Recursos Hídricos/Datos hídricos 1990-1999.xlsx,OK,32868.0,3.0,0,0.0,
datasets_sonora_xlsx/Recursos Hídricos/Datos hídricos 1941-1949.xlsx,OK,7205.0,3.0,0,0.0,
datasets_sonora_xlsx/Recursos Hídricos/Datos hídricos 1980-1989.xlsx,OK,32877.0,3.0,0,0.0,
datasets_sonora_xlsx/Recursos Hídricos/Datos hídricos 1970-1979.xlsx,OK,32868.0,3.0,0,0.0,
datasets_sonora_xlsx/Proyecciones de población - Indicadores demográficos/Diccionario.xlsx,OK,29.0,9.0,2,0.1111,
datasets_sonora_xlsx/Proyecciones de población - Indicadores demográficos/Catalogo.xlsx,OK,32.0,2.0,0,0.0,
datasets_sonora_xlsx/Proyecciones de población - Indicadores demográficos/Indicadores demográficos 1990 - 2040.xlsx,OK,3672.0,29.0,0,0.0,
datasets_sonora_xlsx/Atencion de Urgencias/Atencion de Urgencias 2018 - 2022.xlsx,OK,622784.0,15.0,0,0.0,
datasets_sonora_xlsx/Sistema Epidemiológico y Estadístico de Defunciones/Defunciones 2022.xlsx,OK,13940.0,80.0,80,0.0263,
datasets_sonora_xlsx/Beneficiarios de becas o estímulos educativos/Beneficiarios 2020 - 2022.xlsx,OK,116725.0,10.0,2,0.0001,
datasets_sonora_xlsx/Plantas Eléctricas en Sonora/Diccionario.xlsx,OK,16.0,9.0,3,0.2639,
datasets_sonora_xlsx/Plantas Eléctricas en Sonora/Plantas Eléctricas en Sonora.xlsx,OK,52.0,16.0,1,0.0024,
datasets_sonora_xlsx/Índices de marginación por Entidad Federativa/Diccionario.xlsx,OK,16.0,9.0,3,0.125,
datasets_sonora_xlsx/Índices de marginación por Entidad Federativa/Catalogo.xlsx,OK,32.0,2.0,0,0.0,
datasets_sonora_xlsx/Índices de marginación por Entidad Federativa/Indice de marginación por Estado 2020.xlsx,OK,33.0,16.0,1,0.0019,
datasets_sonora_xlsx/Índices de Reprobación/Indices Agosto - Diciembre 2022.xlsx,OK,267.0,12.0,7,0.1142,
datasets_sonora_xlsx/Índices de Reprobación/Indices Enero - Junio - 2022.xlsx,OK,179.0,12.0,6,0.5,
datasets_sonora_xlsx/Denuncias Ambientales/Denuncias 1er Trimestre 2022.xlsx,OK,29.0,9.0,0,0.0,
datasets_sonora_xlsx/Gobernanza de Datos en la Administración Pública Estatal/Diccionario.xlsx,OK,21.0,9.0,5,0.3386,
datasets_sonora_xlsx/Gobernanza de Datos en la Administración Pública Estatal/Gobernanza de Datos.xlsx,OK,13.0,23.0,11,0.2809,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Mayo - Agosto 2022.xlsx,OK,29.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Mayo - Agosto 2023.xlsx,OK,27.0,4.0,1,0.0092,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Enero - Abril 2022.xlsx,OK,29.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Mayo - Agosto 2024.xlsx,OK,27.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de reingreso/Diccionario.xlsx,OK,4.0,9.0,4,0.4444,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Enero - Abril 2023.xlsx,OK,27.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Enero - Abril 2024.xlsx,OK,27.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Septiembre - Diciembre 2024.xlsx,OK,38.0,4.0,1,0.0197,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Mayo - Agosto 2025.xlsx,OK,38.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Enero - Abril 2025.xlsx,OK,39.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Septiembre - Diciembre 2023.xlsx,OK,27.0,4.0,1,0.0092,
datasets_sonora_xlsx/Estudiantes de reingreso/Reingreso Septiembre - Diciembre 2022.xlsx,OK,27.0,4.0,0,0.0,
datasets_sonora_xlsx/Aprovechamiento Académico/Aprovechamiento - 2021 - 2.xlsx,OK,80.0,8.0,4,0.0203,
